,Sample.Name,COSMIC.identifier,Whole.Exome.Sequencing..WES.,Copy.Number.Alterations..CNA.,Gene.Expression,Methylation,Drug.Response,GDSC.Tissue.descriptor.1,GDSC.Tissue.descriptor.2,Cancer.Type..matching.TCGA.label.,Microsatellite..instability.Status..MSI.,Screen.Medium,Growth.Properties,cellid,tissueid
SUP-T1,SUP-T1,909743,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,SUP-T1,haematopoietic_and_lymphoid_tissue
RH-41,RH-41,1240210,Y,Y,Y,Y,Y,soft_tissue,rhabdomyosarcoma,,MSS/MSI-L,R,Adherent,RH-41,soft_tissue
NCI-H2170,NCI-H2170,687815,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,NCI-H2170,lung
NCI-H2141,NCI-H2141,688014,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Suspension,NCI-H2141,lung
ALL-SIL,ALL-SIL,1295740,Y,Y,Y,Y,Y,leukemia,T_cell_leukemia,ALL,MSS/MSI-L,R,Suspension,ALL-SIL,haematopoietic_and_lymphoid_tissue
H2869,H2869,1240138,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H2869,pleura
BCPAP,BCPAP,924104,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,R,Adherent,BCPAP,thyroid
CaR-1,CaR-1,924108,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,CaR-1,large_intestine
KINGS-1,KINGS-1,907279,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,R,Adherent,KINGS-1,central_nervous_system
U-118-MG,U-118-MG,687588,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,U-118-MG,central_nervous_system
KP-4,KP-4,753572,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,KP-4,pancreas
RPMI-8866,RPMI-8866,910544,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,RPMI-8866,haematopoietic_and_lymphoid_tissue
NCI-H510A,NCI-H510A,753605,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H510A,lung
NCI-H250,NCI-H250,924241,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H250,lung
KMS-12-BM,KMS-12-BM,907281,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,KMS-12-BM,haematopoietic_and_lymphoid_tissue
H290,H290,1240139,Y,Y,Y,Y,Y,lung,mesothelioma,MESO,MSS/MSI-L,R,Adherent,H290,pleura
BT-20,BT-20,906801,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,BT-20,breast
CP66-MEL,CP66-MEL,753546,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,CP66-MEL,skin
VCaP,VCaP,1299075,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent,VCaP,prostate
SK-UT-1,SK-UT-1,909732,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSI-H,D/F12,Adherent,SK-UT-1,soft_tissue
RVH-421,RVH-421,909706,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,RVH-421,skin
NCI-H3122,NCI-H3122,1240190,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H3122,lung
CHSA8926,CHSA8926,1303912,Y,Y,Y,Y,Y,bone,chondrosarcoma,,MSS/MSI-L,R,Adherent,CHSA8926,other
HuO-3N1,HuO-3N1,909977,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,HuO-3N1,bone
NCI-H358,NCI-H358,908465,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H358,lung
BT-483,BT-483,949093,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,BT-483,breast
D-247MG,D-247MG,946367,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-247MG,central_nervous_system
LAN-6,LAN-6,949170,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,LAN-6,autonomic_ganglia
WSU-NHL,WSU-NHL,909785,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSI-H,R,Suspension,WSU-NHL,haematopoietic_and_lymphoid_tissue
KP-1N,KP-1N,1298216,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,R,Adherent,KP-1N,pancreas
PC-14,PC-14,753608,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,PC-14,lung
NCI-H747,NCI-H747,908457,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,NCI-H747,large_intestine
RPMI-8402,RPMI-8402,909702,Y,Y,Y,Y,Y,leukemia,lymphoblastic_T_cell_leukaemia,ALL,MSS/MSI-L,R,Suspension,RPMI-8402,haematopoietic_and_lymphoid_tissue
Calu-3,Calu-3,687777,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,Calu-3,lung
Becker,Becker,906746,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,Becker,central_nervous_system
CAMA-1,CAMA-1,946382,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,D/F12,Adherent,CAMA-1,breast
ES5,ES5,684057,Y,Y,Y,Y,Y,bone,ewings_sarcoma,,MSS/MSI-L,R,Adherent,ES5,bone
LXF-289,LXF-289,753592,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,LXF-289,lung
YKG-1,YKG-1,687592,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,YKG-1,central_nervous_system
HT-1376,HT-1376,907066,Y,Y,Y,Y,Y,urogenital_system,Bladder,BLCA,MSS/MSI-L,D/F12,Adherent,HT-1376,urinary_tract
PFSK-1,PFSK-1,683667,Y,Y,Y,Y,Y,nervous_system,medulloblastoma,MB,MSS/MSI-L,R,Adherent,PFSK-1,central_nervous_system
NCI-SNU-5,NCI-SNU-5,908445,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Suspension,NCI-SNU-5,stomach
NCI-H2110,NCI-H2110,1298351,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,NCI-H2110,lung
PCI-4B,PCI-4B,1298531,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,PCI-4B,head_and_neck
RS4;11,RS4-11,909703,Y,Y,Y,Y,Y,leukemia,leukemia,ALL,MSI-H,R,Suspension,RS4;11,haematopoietic_and_lymphoid_tissue
COLO-320-HSR,COLO-320-HSR,910569,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Suspension,COLO-320-HSR,large_intestine
EoL-1-cell,EoL-1-cell,906856,Y,Y,Y,Y,Y,leukemia,haematopoietic_neoplasm other,,MSS/MSI-L,R,Suspension,EoL-1-cell,haematopoietic_and_lymphoid_tissue
LN-18,LN-18,1240168,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,LN-18,central_nervous_system
TE-12,TE-12,946356,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,D/F12,Suspension,TE-12,oesophagus
HA7-RCC,HA7-RCC,753558,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,HA7-RCC,kidney
NCI-H1581,NCI-H1581,908471,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,D/F12,Semi-Adherent,NCI-H1581,lung
NCC021,NCC021,1509074,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,NCC021,other
LB2518-MEL,LB2518-MEL,753579,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,LB2518-MEL,skin
NCI-H2196,NCI-H2196,908481,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Adherent,NCI-H2196,lung
NCI-H727,NCI-H727,724855,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_carcinoid,,MSS/MSI-L,R,Adherent,NCI-H727,lung
Ca-Ski,Ca-Ski,906824,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,R,Adherent,Ca-Ski,cervix
HO-1-N-1,HO-1-N-1,924111,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,HO-1-N-1,upper_aerodigestive_tract
FU97,FU97,1290806,Y,Y,Y,Y,Y,digestive_system,stomach,STAD,MSS/MSI-L,D/F12,Adherent,FU97,stomach
THP-1,THP-1,909771,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,THP-1,haematopoietic_and_lymphoid_tissue
HPAF-II,HPAF-II,724869,Y,Y,Y,Y,Y,pancreas,pancreas,PAAD,MSS/MSI-L,D/F12,Adherent,HPAF-II,pancreas
NCI-H1963,NCI-H1963,688010,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H1963,lung
NY,NY,910849,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,D/F12,Adherent,NY,bone
IOSE-523-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IOSE-523-,ovary
A704,A704,910920,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,A704,kidney
NCI-H1299,NCI-H1299,724831,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,R,Adherent,NCI-H1299,lung
COR-L105,COR-L105,906805,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,COR-L105,lung
HCC-44,HCC-44,1240145,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,HCC-44,lung
GCT,GCT,906999,Y,Y,Y,Y,Y,soft_tissue,soft_tissue_other,,MSS/MSI-L,R,Adherent,GCT,soft_tissue
SNU-475,SNU-475,909739,Y,Y,Y,Y,Y,digestive_system,liver,LIHC,MSS/MSI-L,R,Adherent,SNU-475,liver
NCI-H146,NCI-H146,910899,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H146,lung
OVCAR-4,OVCAR-4,905990,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVCAR-4,ovary
TYK-nu,TYK-nu,909774,Y,Y,Y,Y,Y,urogenital_system,ovary,UNABLE TO CLASSIFY,MSS/MSI-L,D/F12,Adherent,TYK-nu,ovary
COLO-800,COLO-800,906813,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,COLO-800,skin
D-502MG,D-502MG,946373,Y,Y,Y,Y,Y,nervous_system,glioma,LGG,MSS/MSI-L,D/F12,Adherent,D-502MG,central_nervous_system
HTC-C3,HTC-C3,924151,Y,Y,Y,Y,Y,thyroid,thyroid,THCA,MSS/MSI-L,D/F12,Adherent,HTC-C3,thyroid
GI-ME-N,GI-ME-N,906872,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,R,Adherent,GI-ME-N,autonomic_ganglia
SUP-B15,SUP-B15,1247871,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,D/F12,Suspension,SUP-B15,haematopoietic_and_lymphoid_tissue
JJN-3,JJN-3,1327766,Y,Y,Y,Y,Y,myeloma,haematopoietic_neoplasm other,MM,MSS/MSI-L,D/F12,Suspension,JJN-3,haematopoietic_and_lymphoid_tissue
QGP-1,QGP-1,1298534,Y,Y,Y,Y,Y,pancreas,pancreas,,MSS/MSI-L,R,Adherent,QGP-1,pancreas
OACp4C,OACp4C,1503362,Y,Y,Y,Y,Y,aero_dig_tract,oesophagus,ESCA,MSS/MSI-L,R,Adherent,OACp4C,esophagus
SUP-HD1,SUP-HD1,1331039,Y,Y,Y,Y,Y,lymphoma,Hodgkin_lymphoma,,MSS/MSI-L,R,Suspension,SUP-HD1,haematopoietic_and_lymphoid_tissue
BT-474,BT-474,946359,Y,Y,Y,Y,Y,breast,breast,BRCA,MSS/MSI-L,R,Adherent,BT-474,breast
DU-145,DU-145,905935,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSI-H,D/F12,Adherent,DU-145,prostate
HCC-78,HCC-78,1290908,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,HCC-78,lung
SK-OV-3,SK-OV-3,905959,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSI-H,R,Adherent,SK-OV-3,ovary
J-RT3-T3-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J-RT3-T3-5,haematopoietic_and_lymphoid_tissue
OPM-2,OPM-2,909249,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,OPM-2,haematopoietic_and_lymphoid_tissue
SN12C,SN12C,905979,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,SN12C,kidney
SK-CO-1,SK-CO-1,909718,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,SK-CO-1,large_intestine
Saos-2,Saos-2,909707,Y,Y,Y,Y,Y,bone,osteosarcoma,,MSS/MSI-L,R,Adherent,Saos-2,bone
HCC-15,HCC-15,1240143,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,HCC-15,lung
MEC-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEC-2,haematopoietic_and_lymphoid_tissue
ST486,ST486,910906,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,ST486,haematopoietic_and_lymphoid_tissue
IA-LM,IA-LM,910779,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_large cell,,MSS/MSI-L,D/F12,Adherent,IA-LM,lung
OVMIU,OVMIU,1240200,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,R,Adherent,OVMIU,ovary
SCC-25,SCC-25,910701,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,SCC-25,upper_aerodigestive_tract
SNU-C5,SNU-C5,1674021,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,SNU-C5,large_intestine
NCI-H838,NCI-H838,910399,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H838,lung
769-P,769-P,910922,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,R,Adherent,769-P,kidney
EB-3,EB-3,906847,Y,Y,Y,Y,Y,lymphoma,Burkitt_lymphoma,,MSS/MSI-L,R,Suspension,EB-3,haematopoietic_and_lymphoid_tissue
ML-2,ML-2,908141,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,ML-2,haematopoietic_and_lymphoid_tissue
SBC-5,SBC-5,713880,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,D/F12,Adherent,SBC-5,lung
RCM-1,RCM-1,909263,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,R,Adherent,RCM-1,large_intestine
NCI-H1693,NCI-H1693,687802,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H1693,lung
EJM,EJM,1297447,Y,Y,Y,Y,Y,myeloma,lymphoid_neoplasm other,MM,MSS/MSI-L,D/F12,Semi-Adherent,EJM,haematopoietic_and_lymphoid_tissue
SK-N-DZ,SK-N-DZ,688086,Y,Y,Y,Y,Y,neuroblastoma,neuroblastoma,NB,MSS/MSI-L,D/F12,Adherent,SK-N-DZ,autonomic_ganglia
NCI-H2228,NCI-H2228,687816,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,R,Adherent,NCI-H2228,lung
A4-Fuk,A4-Fuk,910934,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,A4-Fuk,haematopoietic_and_lymphoid_tissue
A498,A498,905948,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,A498,kidney
KS-1,KS-1,907313,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,KS-1,central_nervous_system
MHH-PREB-1,MHH-PREB-1,908136,Y,Y,Y,Y,Y,leukemia,B_cell_leukemia,,MSI-H,R,Suspension,MHH-PREB-1,haematopoietic_and_lymphoid_tissue
SR,SR,905965,Y,Y,Y,Y,Y,lymphoma,lymphoid_neoplasm other,,MSS/MSI-L,R,Suspension,SR,haematopoietic_and_lymphoid_tissue
RERF-LC-MS,RERF-LC-MS,910931,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_adenocarcinoma,LUAD,MSS/MSI-L,D/F12,Adherent,RERF-LC-MS,lung
NCI-H2444,NCI-H2444,1298356,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_not specified,UNABLE TO CLASSIFY,MSS/MSI-L,R,Adherent,NCI-H2444,lung
CL-40,CL-40,1240124,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSS/MSI-L,D/F12,Adherent,CL-40,large_intestine
SACC-83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SACC-83,head_and_neck
LS-411N,LS-411N,907794,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,R,Adherent,LS-411N,large_intestine
ARH-77,ARH-77,906765,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,ARH-77,haematopoietic_and_lymphoid_tissue
BB65-RCC,BB65-RCC,753533,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,BB65-RCC,kidney
KMRC-1,KMRC-1,1298168,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,KMRC-1,kidney
U-266,U-266,753615,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Semi-Adherent,U-266,haematopoietic_and_lymphoid_tissue
SK-MG-1,SK-MG-1,909729,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,R,Adherent,SK-MG-1,central_nervous_system
RPMI-2650,RPMI-2650,909700,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,D/F12,Adherent,RPMI-2650,upper_aerodigestive_tract
NCI-H520,NCI-H520,908443,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,R,Adherent,NCI-H520,lung
JHOS-4,JHOS-4,1480359,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,JHOS-4,ovary
RCC-FG2,RCC-FG2,1524414,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,RCC-FG2,kidney
RKO,RKO,909698,Y,Y,Y,Y,Y,large_intestine,large_intestine,COAD/READ,MSI-H,D/F12,Adherent,RKO,large_intestine
BFTC-909,BFTC-909,910698,Y,Y,Y,Y,Y,kidney,kidney,KIRC,MSS/MSI-L,D/F12,Adherent,BFTC-909,urinary_tract
CCRF-CEM,CCRF-CEM,905952,Y,Y,Y,Y,Y,leukemia,lymphoblastic_leukemia,ALL,MSS/MSI-L,R,Suspension,CCRF-CEM,haematopoietic_and_lymphoid_tissue
KOSC-2,KOSC-2,753570,Y,Y,Y,Y,Y,aero_dig_tract,head and neck,HNSC,MSS/MSI-L,R,Adherent,KOSC-2,upper_aerodigestive_tract
VAL,VAL,1331048,Y,Y,Y,Y,Y,lymphoma,B_cell_lymphoma,DLBC,MSS/MSI-L,R,Suspension,VAL,haematopoietic_and_lymphoid_tissue
SKG-IIIa,SKG-IIIa,930298,Y,Y,Y,Y,Y,urogenital_system,cervix,CESC,MSS/MSI-L,D/F12,Adherent,SKG-IIIa,cervix
QIMR-WIL,QIMR-WIL,910545,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,D/F12,Suspension,QIMR-WIL,haematopoietic_and_lymphoid_tissue
NCI-H526,NCI-H526,688025,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,NCI-H526,lung
Caov-4,Caov-4,949090,Y,Y,Y,Y,Y,urogenital_system,ovary,OV,MSS/MSI-L,D/F12,Adherent,Caov-4,ovary
KASUMI-1,KASUMI-1,907275,Y,Y,Y,Y,Y,leukemia,acute_myeloid_leukaemia,LAML,MSS/MSI-L,R,Suspension,KASUMI-1,haematopoietic_and_lymphoid_tissue
RPMI-7951,RPMI-7951,910903,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,D/F12,Adherent,RPMI-7951,skin
BV-173,BV-173,910710,Y,Y,Y,Y,Y,leukemia,chronic_myeloid_leukaemia,LCML,MSS/MSI-L,R,Suspension,BV-173,haematopoietic_and_lymphoid_tissue
D-542MG,D-542MG,753549,Y,Y,Y,Y,Y,nervous_system,glioma,GBM,MSS/MSI-L,D/F12,Adherent,D-542MG,central_nervous_system
LU-135,LU-135,713899,Y,Y,Y,Y,Y,lung_SCLC,lung_small_cell_carcinoma,SCLC,MSS/MSI-L,R,Suspension,LU-135,lung
WM35,WM35,1299080,Y,Y,Y,Y,Y,skin,melanoma,SKCM,MSS/MSI-L,R,Adherent,WM35,skin
KNS-62,KNS-62,753569,Y,Y,Y,Y,Y,lung_NSCLC,lung_NSCLC_squamous_cell_carcinoma,LUSC,MSS/MSI-L,D/F12,Adherent,KNS-62,lung
PC-3,PC-3,905934,Y,Y,Y,Y,Y,urogenital_system,prostate,PRAD,MSS/MSI-L,D/F12,Adherent,PC-3,prostate
NCI-H929,NCI-H929,724825,Y,Y,Y,Y,Y,myeloma,myeloma,MM,MSS/MSI-L,R,Suspension,NCI-H929,haematopoietic_and_lymphoid_tissue
